,target set size,time(sec)
0,20,4.987085388507694
1,29,5.8867236340011
2,38,5.9172734820022015
3,48,7.077351390500553
4,57,7.357078820001334
5,67,4.942267766004079
6,76,6.238027853993117
7,86,3.991734776995145
8,95,4.095055987505475
9,105,4.265142290489166
10,114,4.85114449399407
11,124,3.538605206500506
12,133,3.835820039996179
13,143,5.818498491498758
14,152,3.6389332785038278
15,162,4.036387253494468
16,171,4.023567656011437
17,181,3.7098789695010055
18,190,3.8681360699993093
19,200,4.457503540994367
